Year,Kentucky(in million)
1900,2.148
1901,2.162
1902,2.177
1903,2.191
1904,2.205
1905,2.22
1906,2.234
1907,2.249
1908,2.263
1909,2.278
1910,2.299
1911,2.324
1912,2.347
1913,2.374
1914,2.395
1915,2.401
1916,2.411
1917,2.421
1918,2.425
1919,2.4130000000000003
1920,2.421
1921,2.436
1922,2.45
1923,2.48
1924,2.531
1925,2.52
1926,2.545
1927,2.551
1928,2.567
1929,2.6060000000000003
1930,2.623
1931,2.652
1932,2.676
1933,2.698
1934,2.722
1935,2.748
1936,2.768
1937,2.784
1938,2.8
1939,2.825
1940,2.859
1941,2.824
1942,2.797
1943,2.693
1944,2.631
1945,2.597
1946,2.761
1947,2.803
1948,2.817
1949,2.849
1950,2.9360000000000004
1951,2.9410000000000003
1952,2.92
1953,2.903
1954,2.902
1955,2.91
1956,2.898
1957,2.928
1958,2.9610000000000003
1959,2.999
1960,3.0410000000000004
1961,3.054
1962,3.079
1963,3.096
1964,3.129
1965,3.14
1966,3.147
1967,3.172
1968,3.195
1969,3.198
1970,3.220711
1971,3.298053
1972,3.335728
1973,3.371024
1974,3.416315
1975,3.467769
1976,3.529257
1977,3.573693
1978,3.609976
1979,3.641804
1980,3.664221
1981,3.6703940000000004
1982,3.683445
1983,3.694484000000001
1984,3.695453
1985,3.6948260000000004
1986,3.687809
1987,3.683329
1988,3.6799990000000014
1989,3.6773059999999997
1990,3.692584
1991,3.714686
1992,3.756358
1993,3.792288
1994,3.8232150000000003
1995,3.855248000000001
1996,3.881051
1997,3.907816
1998,3.93431
1999,3.960825
2000,4.049021
2001,4.068132
2002,4.089875
2003,4.11717
2004,4.146101
2005,4.182742
2006,4.219239000000001
2007,4.256672000000001
2008,4.289878
2009,4.317074000000002
2010,4.3479480000000015
2011,4.368505
2012,4.383673
2013,4.399121
2014,4.410415
2015,4.422057
2016,4.4361130000000015
2017,4.454189
